Date ,Treatment,Tank,Fragment,Picture,Fra.pic,File ,variable.fragment,variable
2017-09-27,26,1,9,1,1,1.csv,F1,Fo
2017-09-27,26,1,13,1,2,1.csv,F2,Fo
2017-09-27,26,1,16,1,3,1.csv,F3,Fo
2017-09-27,26,1,17,1,4,1.csv,F4,Fo
2017-09-27,26,1,36,2,1,2.csv,F1,Fo
2017-09-27,26,1,42,2,2,2.csv,F2,Fo
2017-09-27,26,1,44,2,3,2.csv,F3,Fo
2017-09-27,26,1,50,2,4,2.csv,F4,Fo
2017-09-27,26,1,51,3,1,3.csv,F1,Fo
2017-09-27,26,1,55,3,2,3.csv,F2,Fo
2017-09-27,26,1,56,3,3,3.csv,F3,Fo
2017-09-27,26,1,61,3,4,3.csv,F4,Fo
2017-09-27,26,1,64,4,1,4.csv,F1,Fo
2017-09-27,26,1,67,4,2,4.csv,F2,Fo
2017-09-27,26,1,76,4,3,4.csv,F3,Fo
2017-09-27,26,1,77,4,4,4.csv,F4,Fo
2017-09-27,26,1,94,5,1,5.csv,F1,Fo
2017-09-27,26,1,127,5,2,5.csv,F2,Fo
2017-09-27,26,1,201,5,3,5.csv,F3,Fo
2017-09-27,26,1,202,5,4,5.csv,F4,Fo
2017-09-27,26,1,298,5,5,5.csv,F5,Fo
2017-09-27,27,2,11,6,1,6.csv,F1,Fo
2017-09-27,27,2,12,6,2,6.csv,F2,Fo
2017-09-27,27,2,28,6,3,6.csv,F3,Fo
2017-09-27,27,2,29,6,4,6.csv,F4,Fo
2017-09-27,27,2,30,7,1,7.csv,F1,Fo
2017-09-27,27,2,40,7,2,7.csv,F2,Fo
2017-09-27,27,2,57,7,3,7.csv,F3,Fo
2017-09-27,27,2,58,7,4,7.csv,F4,Fo
2017-09-27,27,2,59,8,1,8.csv,F1,Fo
2017-09-27,27,2,60,8,2,8.csv,F2,Fo
2017-09-27,27,2,73,8,3,8.csv,F3,Fo
2017-09-27,27,2,78,8,4,8.csv,F4,Fo
2017-09-27,27,2,79,9,1,9.csv,F1,Fo
2017-09-27,27,2,82,9,2,9.csv,F2,Fo
2017-09-27,27,2,83,9,3,9.csv,F3,Fo
2017-09-27,27,2,84,9,4,9.csv,F4,Fo
2017-09-27,27,2,88,10,1,10.csv,F1,Fo
2017-09-27,27,2,90,10,2,10.csv,F2,Fo
2017-09-27,27,2,92,10,3,10.csv,F3,Fo
2017-09-27,27,2,96,10,4,10.csv,F4,Fo
2017-09-27,27,2,205,11,1,11.csv,F1,Fo
2017-09-27,27,2,207,11,2,11.csv,F2,Fo
2017-09-27,27,2,297,11,3,11.csv,F3,Fo
2017-09-27,28,4,8b,12,1,12.csv,F1,Fo
2017-09-27,28,4,15b,12,2,12.csv,F2,Fo
2017-09-27,28,4,18b,12,3,12.csv,F3,Fo
2017-09-27,28,4,20b,12,4,12.csv,F4,Fo
2017-09-27,28,4,27b,13,1,13.csv,F1,Fo
2017-09-27,28,4,34b,13,2,13.csv,F2,Fo
2017-09-27,28,4,43b,13,3,13.csv,F3,Fo
2017-09-27,28,4,46b,13,4,13.csv,F4,Fo
2017-09-27,28,4,49b,13,5,13.csv,F5,Fo
2017-09-27,28,4,68b,14,1,14.csv,F1,Fo
2017-09-27,28,4,71b,14,2,14.csv,F2,Fo
2017-09-27,28,4,85b,14,3,14.csv,F3,Fo
2017-09-27,28,4,91b,14,4,14.csv,F4,Fo
2017-09-27,28,4,114b,15,1,15.csv,F1,Fo
2017-09-27,28,4,125b,15,2,15.csv,F2,Fo
2017-09-27,28,4,126b,15,3,15.csv,F3,Fo
2017-09-27,28,4,129b,15,4,15.csv,F4,Fo
2017-09-27,28,4,196b,15,5,15.csv,F5,Fo
2017-09-27,28b,4,1c,16,1,16.csv,F1,Fo
2017-09-27,28b,4,2c,16,2,16.csv,F2,Fo
2017-09-27,28b,4,10c,16,3,16.csv,F3,Fo
2017-09-27,28b,4,14c,16,4,16.csv,F4,Fo
2017-09-27,28b,4,23c,17,1,17.csv,F1,Fo
2017-09-27,28b,4,24c,17,2,17.csv,F2,Fo
2017-09-27,28b,4,25c,17,3,17.csv,F3,Fo
2017-09-27,28b,4,31c,17,4,17.csv,F4,Fo
2017-09-27,28b,4,35c,18,1,18.csv,F1,Fo
2017-09-27,28b,4,38c,18,2,18.csv,F2,Fo
2017-09-27,28b,4,41c,18,3,18.csv,F3,Fo
2017-09-27,28b,4,45c,18,4,18.csv,F4,Fo
2017-09-27,28b,4,62c,19,1,19.csv,F1,Fo
2017-09-27,28b,4,63c,19,2,19.csv,F2,Fo
2017-09-27,28b,4,65c,19,3,19.csv,F3,Fo
2017-09-27,28b,4,66c,19,4,19.csv,F4,Fo
2017-09-27,28b,4,69c,20,1,20.csv,F1,Fo
2017-09-27,28b,4,72c,20,2,20.csv,F2,Fo
2017-09-27,28b,4,87c,20,3,20.csv,F3,Fo
2017-09-27,28,4,209,20,4,20.csv,F4,Fo
2017-09-27,28,4,210,20,5,20.csv,F5,Fo
2017-09-27,28,4,296,20,6,20.csv,F6,Fo
2017-09-27,29,3,4,21,1,21.csv,F1,Fo
2017-09-27,29,3,5,21,2,21.csv,F2,Fo
2017-09-27,29,3,6,21,3,21.csv,F3,Fo
2017-09-27,29,3,22,21,4,21.csv,F4,Fo
2017-09-27,29,3,32,22,1,22.csv,F1,Fo
2017-09-27,29,3,33,22,2,22.csv,F2,Fo
2017-09-27,29,3,39,22,3,22.csv,F3,Fo
2017-09-27,29,3,48,22,4,22.csv,F4,Fo
2017-09-27,29,3,52,23,1,23.csv,F1,Fo
2017-09-27,29,3,53,23,2,23.csv,F2,Fo
2017-09-27,29,3,54,23,3,23.csv,F3,Fo
2017-09-27,29,3,70,23,4,23.csv,F4,Fo
2017-09-27,29,3,75,24,1,24.csv,F1,Fo
2017-09-27,29,3,80,24,2,24.csv,F2,Fo
2017-09-27,29,3,81,24,3,24.csv,F3,Fo
2017-09-27,29,3,89,25,1,25.csv,F1,Fo
2017-09-27,29,3,93,25,2,25.csv,F2,Fo
2017-09-27,29,3,95,25,3,25.csv,F3,Fo
2017-09-27,29,3,212,25,4,25.csv,F4,Fo
2017-09-27,29,3,213,25,5,25.csv,F5,Fo
