Treatment,Tank,Fragment,Picture,Time ,date,F0,Fm,YII
26,4,1,7,0,12.04.17,0.1534,0.2716,0.435
26,4,9,7,0,12.04.17,0.1485,0.2853,0.479
26,4,13,11,0,12.04.17,0.1799,0.301,0.402
26,4,16,7,0,12.04.17,0.1446,0.2735,0.471
26,4,17,9,0,12.04.17,0.1294,0.2471,0.476
26,4,42,10,0,12.04.17,0.1319,0.2652,0.503
26,4,36,8,0,12.04.17,0.1456,0.2363,0.384
26,4,44,10,0,12.04.17,0.1525,0.2853,0.466
26,4,50,9,0,12.04.17,0.1265,0.2426,0.479
26,4,51,8,0,12.04.17,0.1574,0.2696,0.416
26,4,55,10,0,12.04.17,0.1529,0.2789,0.452
26,4,56,11,0,12.04.17,0.1775,0.3265,0.456
26,4,61,9,0,12.04.17,0.1642,0.2824,0.418
26,4,64,10,0,12.04.17,0.1417,0.2627,0.461
26,4,67,8,0,12.04.17,0.1681,0.2892,0.419
26,4,72,7,0,12.04.17,0.1549,0.3025,0.488
26,4,76,9,0,12.04.17,0.1549,0.275,0.437
26,4,77,11,0,12.04.17,0.1569,0.2956,0.469
26,4,86,8,0,12.04.17,0.1377,0.223,0.382
26,4,94,7,0,12.04.17,0.1407,0.2583,0.455
27,3,3,1,0,12.04.17,0.1525,0.3382,0.549
27,3,11,2,0,12.04.17,0.1309,0.3103,0.578
27,3,12,1,0,12.04.17,0.1299,0.248,0.476
27,3,28,4,0,12.04.17,0.1314,0.2789,0.529
27,3,29,4,0,12.04.17,0.1265,0.2534,0.501
27,3,30,6,0,12.04.17,0.1363,0.2755,0.505
27,3,31,6,0,12.04.17,0.1446,0.3113,0.535
27,3,35,5,0,12.04.17,0.1819,0.3485,0.478
27,3,40,2,0,12.04.17,0.1358,0.3265,0.584
27,3,57,2,0,12.04.17,0.1623,0.3167,0.488
27,3,58,6,0,12.04.17,0.123,0.2877,0.572
27,3,59,1,0,12.04.17,0.1598,0.325,0.508
27,3,60,3,0,12.04.17,0.1544,0.2814,0.451
27,3,62,6,0,12.04.17,0.1377,0.2848,0.516
27,3,63,3,0,12.04.17,0.1711,0.3074,0.443
27,3,65,6,0,12.04.17,0.1113,0.2588,0.57
27,3,73,5,0,12.04.17,0.1176,0.2328,0.495
27,3,78,1,0,12.04.17,0.1353,0.2735,0.505
27,3,79,3,0,12.04.17,0.1377,0.2912,0.527
27,3,82,4,0,12.04.17,0.1358,0.301,0.549
27,3,83,4,0,12.04.17,0.1284,0.2902,0.557
27,3,84,5,0,12.04.17,0.1863,0.3549,0.475
27,3,88,1,0,12.04.17,0.1088,0.2108,0.484
27,3,90,5,0,12.04.17,0.1299,0.2554,0.491
