Treatment,Tank,Fragment,Picture_0,Date_0,F0_0,Fm_0,YII_0,Date_1,F0_1,Fm_1,YII_1,Date_2,F0_2,Fm_2,YII_2,Date_3,F0_3,Fm_3,YII_3,Date_4,F0_4,Fm_4,YII_4,Date_5,F0_5,Fm_5,YII_5,Date_6,F0_6,Fm_6,YII_6,Date_7,F0_7,Fm_7,YII_7,Date_8,F0_8,Fm_8,YII_8,Date_9,F0_9,Fm_9,YII_9,Date_10,F0_10,Fm_10,YII_10,Date_11,F0_11,Fm_11,YII_11,Date_12,F0_12,Fm_12,YII_12,Date_13,F0_13,Fm_13,YII_13,Date_14,F0_14,Fm_14,YII_14,Date_15,Tank_15,F0_15,Fm_15,YII_15,Date_16,Tank_16,F0_16,Fm_16,YII_16,Date_17,Tank_17,F0_17,Fm_17,YII_17,Date_18,Tank_18,F0_18,Fm_18,YII_17,Date_19,Tank_19,Fo_19,Fm_19,YII_19
26,4,9,7,12.04.17,0.1485,0.2853,0.479,19.04.17,0.1377,0.3142,0.562,26.04.17,0.1971,0.3985,0.506,2017-05-10,0.1353,0.223,0.393,2017-05-17,0.1451,0.2172,0.332,2017-05-24,0.1623,0.2637,0.385,2017-05-31,0.1431,0.2083,0.313,2017-06-07,0.152,0.2289,0.336,2017-06-14,0.1554,0.2255,0.311,2017-06-21,0.1588,0.2701,0.412,2017-06-28,0.1627,0.2907,0.44,2017-07-05,0.1554,0.2897,0.464,2017-07-12,0.1569,0.2917,0.462,2017-07-19,0.1559,0.2926,0.467,2017-07-26,0.1324,0.298,0.556,2017-08-09,1,0.1721,0.4603,0.626,2017-08-16,2,0.1569,0.4299,0.635,2017-08-25,2,0.1368,0.2985,0.542,2017-09-20,3,0.1569,0.4044,0.612,2017-09-27,1,0.1569,0.3828,0.59
26,4,13,11,12.04.17,0.1799,0.301,0.402,19.04.17,0.1338,0.2627,0.491,26.04.17,0.1681,0.3225,0.479,2017-05-10,0.1544,0.2275,0.321,2017-05-17,0.1716,0.2304,0.255,2017-05-24,0.1392,0.2059,0.324,2017-05-31,0.1461,0.1819,0.197,2017-06-07,0.1681,0.226,0.256,2017-06-14,0.1588,0.2328,0.318,2017-06-21,0.1652,0.2544,0.351,2017-06-28,0.1725,0.2956,0.416,2017-07-05,0.1446,0.2446,0.409,2017-07-12,0.1623,0.277,0.414,2017-07-19,0.1672,0.2922,0.428,2017-07-26,0.1505,0.2833,0.469,2017-08-09,1,0.1618,0.3495,0.537,2017-08-16,2,0.173,0.4152,0.583,2017-08-25,2,0.1721,0.3294,0.478,2017-09-20,3,0.1574,0.3603,0.563,2017-09-27,1,0.1814,0.3966,0.543
26,4,16,7,12.04.17,0.1446,0.2735,0.471,19.04.17,0.15,0.3181,0.529,26.04.17,0.1912,0.3706,0.484,2017-05-10,0.1485,0.227,0.346,2017-05-17,0.1667,0.224,0.256,2017-05-24,0.1868,0.2652,0.296,2017-05-31,0.1775,0.2436,0.272,2017-06-07,0.1868,0.276,0.323,2017-06-14,0.1603,0.249,0.356,2017-06-21,0.1647,0.273,0.397,2017-06-28,0.1789,0.3093,0.422,2017-07-05,0.1721,0.2971,0.421,2017-07-12,0.177,0.3098,0.429,2017-07-19,0.1735,0.3127,0.445,2017-07-26,0.1667,0.3245,0.486,2017-08-09,1,0.1686,0.4221,0.6,2017-08-16,2,0.1951,0.4441,0.561,2017-08-25,2,0.1804,0.3534,0.49,2017-09-20,3,0.1897,0.4431,0.572,2017-09-27,1,0.199,0.475,0.581
26,4,17,9,12.04.17,0.1294,0.2471,0.476,19.04.17,0.1309,0.2632,0.503,26.04.17,0.1922,0.399,0.518,2017-05-10,0.1539,0.2294,0.329,2017-05-17,0.1701,0.2373,0.283,2017-05-24,0.1608,0.2407,0.332,2017-05-31,0.1672,0.2029,0.176,2017-06-07,0.1534,0.2225,0.311,2017-06-14,0.1505,0.2319,0.351,2017-06-21,0.1672,0.2892,0.422,2017-06-28,0.1672,0.2848,0.413,2017-07-05,0.1534,0.2779,0.448,2017-07-12,0.149,0.2725,0.453,2017-07-19,0.1456,0.2706,0.462,2017-07-26,0.1627,0.3186,0.489,2017-08-09,1,0.1745,0.4039,0.568,2017-08-16,2,0.1794,0.4466,0.598,2017-08-25,2,0.1637,0.3054,0.464,2017-09-20,3,0.1676,0.3853,0.565,2017-09-27,1,0.174,0.3946,0.559
26,4,36,8,12.04.17,0.1456,0.2363,0.384,19.04.17,0.176,0.2848,0.382,26.04.17,0.1838,0.3319,0.446,2017-05-10,0.1985,0.2662,0.254,2017-05-17,0.1882,0.252,0.253,2017-05-24,0.1833,0.2819,0.35,2017-05-31,0.1824,0.2426,0.248,2017-06-07,0.202,0.3127,0.354,2017-06-14,0.1946,0.3137,0.38,2017-06-21,0.1544,0.274,0.436,2017-06-28,0.1946,0.349,0.442,2017-07-05,0.1936,0.3137,0.383,2017-07-12,0.1721,0.2951,0.417,2017-07-19,0.1975,0.3348,0.41,2017-07-26,0.1956,0.3887,0.497,2017-08-09,1,0.2059,0.4618,0.554,2017-08-16,2,0.1593,0.3495,0.544,2017-08-25,2,0.1912,0.3245,0.411,2017-09-20,3,0.1931,0.3466,0.443,2017-09-27,1,0.1819,0.3431,0.47
26,4,42,10,12.04.17,0.1319,0.2652,0.503,19.04.17,0.1686,0.2833,0.405,26.04.17,0.1377,0.3025,0.545,2017-05-10,0.177,0.2623,0.325,2017-05-17,0.1667,0.2343,0.289,2017-05-24,0.1696,0.2407,0.295,2017-05-31,0.1706,0.2176,0.216,2017-06-07,0.1613,0.2245,0.282,2017-06-14,0.1667,0.2657,0.373,2017-06-21,0.1686,0.2868,0.412,2017-06-28,0.1725,0.3181,0.458,2017-07-05,0.1667,0.3221,0.482,2017-07-12,0.151,0.2877,0.475,2017-07-19,0.1701,0.2863,0.406,2017-07-26,0.148,0.2853,0.481,2017-08-09,1,0.126,0.3025,0.583,2017-08-16,2,0.1373,0.3211,0.573,2017-08-25,2,0.1412,0.2632,0.464,2017-09-20,3,0.1436,0.3083,0.534,2017-09-27,1,0.1392,0.3275,0.575
26,4,44,10,12.04.17,0.1525,0.2853,0.466,19.04.17,0.1652,0.2672,0.382,26.04.17,0.1824,0.3083,0.409,2017-05-10,0.1961,0.2779,0.295,2017-05-17,0.1824,0.2456,0.257,2017-05-24,0.1833,0.2608,0.297,2017-05-31,0.1926,0.2392,0.195,2017-06-07,0.151,0.2735,0.448,2017-06-14,0.1422,0.2618,0.457,2017-06-21,0.1672,0.3328,0.498,2017-06-28,0.1549,0.3172,0.512,2017-07-05,0.1574,0.2784,0.435,2017-07-12,0.1466,0.2613,0.439,2017-07-19,0.173,0.2917,0.407,2017-07-26,0.1549,0.3044,0.491,2017-08-09,1,0.1294,0.324,0.601,2017-08-16,2,0.1814,0.4343,0.582,2017-08-25,2,0.1539,0.2956,0.479,2017-09-20,3,0.1657,0.3603,0.54,2017-09-27,1,0.1392,0.3309,0.579
26,4,50,9,12.04.17,0.1265,0.2426,0.479,19.04.17,0.1662,0.2838,0.415,26.04.17,0.1951,0.3632,0.463,2017-05-10,0.1613,0.2275,0.291,2017-05-17,0.1466,0.2132,0.313,2017-05-24,0.1475,0.2294,0.357,2017-05-31,0.152,0.2078,0.269,2017-06-07,0.1569,0.2333,0.328,2017-06-14,0.1603,0.2441,0.343,2017-06-21,0.1608,0.2623,0.387,2017-06-28,0.1632,0.2828,0.423,2017-07-05,0.1681,0.2735,0.385,2017-07-12,0.1466,0.227,0.354,2017-07-19,0.1466,0.2451,0.402,2017-07-26,0.1328,0.2471,0.462,2017-08-09,1,0.176,0.4113,0.572,2017-08-16,2,0.1407,0.3456,0.593,2017-08-25,2,0.1446,0.2779,0.48,2017-09-20,3,0.1627,0.3225,0.495,2017-09-27,1,0.1593,0.3225,0.506
26,4,51,8,12.04.17,0.1574,0.2696,0.416,19.04.17,0.148,0.251,0.41,26.04.17,0.1554,0.3147,0.506,2017-05-10,0.1613,0.2221,0.274,2017-05-17,0.1441,0.2025,0.288,2017-05-24,0.1451,0.2402,0.396,2017-05-31,0.1515,0.2132,0.29,2017-06-07,0.1725,0.2662,0.352,2017-06-14,0.1554,0.2348,0.338,2017-06-21,0.1353,0.2225,0.392,2017-06-28,0.1632,0.2706,0.397,2017-07-05,0.1539,0.2446,0.371,2017-07-12,0.1495,0.2407,0.379,2017-07-19,0.173,0.2833,0.389,2017-07-26,0.1735,0.3338,0.48,2017-08-09,1,0.1642,0.3809,0.569,2017-08-16,2,0.1294,0.3201,0.596,2017-08-25,2,0.1657,0.325,0.49,2017-09-20,3,0.1569,0.3176,0.506,2017-09-27,1,0.1608,0.3221,0.501
26,4,55,10,12.04.17,0.1529,0.2789,0.452,19.04.17,0.1828,0.3083,0.407,26.04.17,0.1789,0.2951,0.394,2017-05-10,0.1564,0.2466,0.366,2017-05-17,0.1471,0.2147,0.315,2017-05-24,0.1623,0.2451,0.338,2017-05-31,0.1794,0.226,0.206,2017-06-07,0.1706,0.2613,0.347,2017-06-14,0.1539,0.2446,0.371,2017-06-21,0.1627,0.2843,0.428,2017-06-28,0.1686,0.3299,0.489,2017-07-05,0.15,0.2775,0.459,2017-07-12,0.1456,0.2819,0.483,2017-07-19,0.1598,0.2833,0.436,2017-07-26,0.1804,0.3485,0.482,2017-08-09,1,0.1642,0.3809,0.569,2017-08-16,2,0.1613,0.4142,0.611,2017-08-25,2,0.1525,0.3127,0.513,2017-09-20,3,0.173,0.3755,0.539,2017-09-27,1,0.1441,0.3147,0.542
