"","Date","Temperature","Tank","Fragment","YII"
"1","2017-09-27","26",1,"9",0.59
"2","2017-09-27","26",1,"13",0.543
"3","2017-09-27","26",1,"16",0.581
"4","2017-09-27","26",1,"17",0.559
"5","2017-09-27","26",1,"36",0.47
"6","2017-09-27","26",1,"42",0.575
"7","2017-09-27","26",1,"44",0.579
"8","2017-09-27","26",1,"50",0.506
"9","2017-09-27","26",1,"51",0.501
"10","2017-09-27","26",1,"55",0.542
"11","2017-09-27","26",1,"56",0.457
"12","2017-09-27","26",1,"61",0.451
"13","2017-09-27","26",1,"64",0.519
"14","2017-09-27","26",1,"67",0.548
"15","2017-09-27","26",1,"76",0.522
"16","2017-09-27","26",1,"77",0.493
"17","2017-09-27","26",1,"94",0.527
"18","2017-09-27","26",1,"127",0.599
"19","2017-09-27","26",1,"201",0.533
"20","2017-09-27","26",1,"202",0.556
"21","2017-09-27","26",1,"298",0.575
"22","2017-09-27","27",2,"11",0.609
"23","2017-09-27","27",2,"12",0.6
"24","2017-09-27","27",2,"28",0.546
"25","2017-09-27","27",2,"29",0.544
"26","2017-09-27","27",2,"30",0.556
"27","2017-09-27","27",2,"40",0.55
"28","2017-09-27","27",2,"57",0.504
"29","2017-09-27","27",2,"58",0.548
"30","2017-09-27","27",2,"59",0.542
"31","2017-09-27","27",2,"60",0.608
"32","2017-09-27","27",2,"73",0.563
"33","2017-09-27","27",2,"78",0.548
"34","2017-09-27","27",2,"79",0.594
"35","2017-09-27","27",2,"82",0.532
"36","2017-09-27","27",2,"83",0.608
"37","2017-09-27","27",2,"84",0.624
"38","2017-09-27","27",2,"88",0.583
"39","2017-09-27","27",2,"90",0.535
"40","2017-09-27","27",2,"92",0.591
"41","2017-09-27","27",2,"96",0.603
"42","2017-09-27","27",2,"205",0.513
"43","2017-09-27","27",2,"207",0.569
"44","2017-09-27","27",2,"297",0.597
"45","2017-09-27","28",4,"8b",0.569
"46","2017-09-27","28",4,"15b",0.509
"47","2017-09-27","28",4,"18b",0.476
"48","2017-09-27","28",4,"20b",0.479
"49","2017-09-27","28",4,"27b",0.469
"50","2017-09-27","28",4,"34b",0.489
"51","2017-09-27","28",4,"43b",0.541
"52","2017-09-27","28",4,"46b",0.572
"53","2017-09-27","28",4,"49b",0.538
"54","2017-09-27","28",4,"68b",0.516
"55","2017-09-27","28",4,"71b",0.601
"56","2017-09-27","28",4,"85b",0.463
"57","2017-09-27","28",4,"91b",0.573
"58","2017-09-27","28",4,"114b",0.572
"59","2017-09-27","28",4,"125b",0.582
"60","2017-09-27","28",4,"126b",0.557
"61","2017-09-27","28",4,"129b",0.589
"62","2017-09-27","28",4,"196b",0.597
"63","2017-09-27","28b",4,"1c",0.544
"64","2017-09-27","28b",4,"2c",0.525
"65","2017-09-27","28b",4,"10c",0.569
"66","2017-09-27","28b",4,"14c",0.508
"67","2017-09-27","28b",4,"23c",0.531
"68","2017-09-27","28b",4,"24c",0.563
"69","2017-09-27","28b",4,"25c",0.53
"70","2017-09-27","28b",4,"31c",0.528
"71","2017-09-27","28b",4,"35c",0.509
"72","2017-09-27","28b",4,"38c",0.545
"73","2017-09-27","28b",4,"41c",0.591
"74","2017-09-27","28b",4,"45c",0.558
"75","2017-09-27","28b",4,"62c",0.518
"76","2017-09-27","28b",4,"63c",0.517
"77","2017-09-27","28b",4,"65c",0.591
"78","2017-09-27","28b",4,"66c",0.579
"79","2017-09-27","28b",4,"69c",0.581
"80","2017-09-27","28b",4,"72c",0.458
"81","2017-09-27","28b",4,"87c",0.534
"82","2017-09-27","28",4,"209",0.569
"83","2017-09-27","28",4,"210",0.567
"84","2017-09-27","28",4,"296",0.575
"85","2017-09-27","29",3,"4",0.574
"86","2017-09-27","29",3,"5",0.563
"87","2017-09-27","29",3,"6",0.553
"88","2017-09-27","29",3,"22",0.51
